有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註,代號,公司名稱
3693　營邦,TW0003693008,2013/11/27,上櫃,電腦及週邊設備業,ESVUFR,,3693,營邦
3707　漢磊,TW0003707006,2014/10/01,上櫃,半導體業,ESVUFR,,3707,漢磊
3709　鑫聯大投控,TW0003709002,1999/04/16,上櫃,電腦及週邊設備業,ESVUFR,,3709,鑫聯大投控
3710　連展投控,TW0003710000,2017/12/29,上櫃,電子零組件業,ESVUFR,,3710,連展投控
3713　新晶投控,TW0003713004,2020/02/27,上櫃,光電業,ESVUFR,,3713,新晶投控
4102　永日,TW0004102009,2001/03/20,上櫃,生技醫療業,ESVUFR,,4102,永日
4105　東洋,TW0004105002,2001/09/27,上櫃,生技醫療業,ESVUFR,,4105,東洋
4107　邦特,TW0004107008,2002/03/04,上櫃,生技醫療業,ESVUFR,,4107,邦特
4109　加捷生醫,TW0004109004,2002/08/08,上櫃,生技醫療業,ESVUFR,,4109,加捷生醫
4111　濟生,TW0004111000,1999/03/06,上櫃,生技醫療業,ESVUFR,,4111,濟生
4113　聯上,TW0004113006,2003/07/22,上櫃,建材營造業,ESVUFR,,4113,聯上
4114　健喬,TW0004114004,2003/05/12,上櫃,生技醫療業,ESVUFR,,4114,健喬
4116　明基醫,TW0004116009,2015/12/16,上櫃,生技醫療業,ESVUFR,,4116,明基醫
4120　友華,TW0004120001,2003/11/05,上櫃,生技醫療業,ESVUFR,,4120,友華
4121　優盛,TW0004121009,2003/07/25,上櫃,生技醫療業,ESVUFR,,4121,優盛
4123　晟德,TW0004123005,2003/10/07,上櫃,生技醫療業,ESVUFR,,4123,晟德
4126　太醫,TW0004126008,2004/02/09,上櫃,生技醫療業,ESVUFR,,4126,太醫
4127　天良,TW0004127006,2005/07/29,上櫃,生技醫療業,ESVUFR,,4127,天良
4128　中天,TW0004128004,2006/06/09,上櫃,生技醫療業,ESVUFR,,4128,中天
4129　聯合,TW0004129002,2004/09/29,上櫃,生技醫療業,ESVUFR,,4129,聯合
4130　健亞,TW0004130000,2012/01/12,上櫃,生技醫療業,ESVUFR,,4130,健亞
4131　晶宇,TW0004131008,2004/04/09,上櫃,生技醫療業,ESVUFR,,4131,晶宇
4138　曜亞,TW0004138003,2010/12/29,上櫃,生技醫療業,ESVUFR,,4138,曜亞
4139　馬光-KY,KYG5831M1087,2011/04/29,上櫃,生技醫療業,ESVUFR,,4139,馬光-KY
4147　中裕,TW0004147004,2015/11/23,上櫃,生技醫療業,ESVUFR,,4147,中裕
4152　台微體,TW0004152004,2012/12/21,上櫃,生技醫療業,ESVUFR,,4152,台微體
4153　鈺緯,TW0004153002,2013/05/23,上櫃,生技醫療業,ESVUFR,,4153,鈺緯
4154　康樂-KY,KYG527551082,2011/12/28,上櫃,生技醫療業,ESVUFR,,4154,康樂-KY
4157　太景*-KY,KYG866171005,2013/08/30,上櫃,生技醫療業,ESVUFR,,4157,太景*-KY
4160　創源,TW0004160007,2012/09/17,上櫃,生技醫療業,ESVUFR,,4160,創源
4161　聿新科,TW0004161005,2013/06/26,上櫃,生技醫療業,ESVUFR,,4161,聿新科
4162　智擎,TW0004162003,2012/09/18,上櫃,生技醫療業,ESVUFR,,4162,智擎
4163　鐿鈦,TW0004163001,2012/11/15,上櫃,生技醫療業,ESVUFR,,4163,鐿鈦
4167　展旺,TW0004167002,2015/09/08,上櫃,生技醫療業,ESVUFR,,4167,展旺
4168　醣聯,TW0004168000,2012/12/18,上櫃,生技醫療業,ESVUFR,,4168,醣聯
4171　瑞基,TW0004171004,2018/03/28,上櫃,農業科技業,ESVUFR,,4171,瑞基
4173　久裕,TW0004173000,2013/10/31,上櫃,生技醫療業,ESVUFR,,4173,久裕
4174　浩鼎,TW0004174008,2015/03/23,上櫃,生技醫療業,ESVUFR,,4174,浩鼎
4175　杏一,TW0004175005,2014/04/23,上櫃,生技醫療業,ESVUFR,,4175,杏一
4183　福永生技,TW0004183009,2017/03/09,上櫃,生技醫療業,ESVUFR,,4183,福永生技
4188　安克,TW0004188008,2015/03/24,上櫃,生技醫療業,ESVUFR,,4188,安克
4192　杏國,TW0004192000,2014/10/28,上櫃,生技醫療業,ESVUFR,,4192,杏國
4198　環瑞醫,TW0004198007,2014/12/23,上櫃,生技醫療業,ESVUFR,,4198,環瑞醫
4205　中華食,TW0004205000,1999/01/31,上櫃,食品工業,ESVUFR,,4205,中華食
4207　環泰,TW0004207006,2000/01/21,上櫃,食品工業,ESVUFR,,4207,環泰
4303　信立,TW0004303003,1999/03/10,上櫃,塑膠工業,ESVUFR,,4303,信立
4304　勝昱,TW0004304001,2000/01/27,上櫃,塑膠工業,ESVUFR,,4304,勝昱
4305　世坤,TW0004305008,2000/09/28,上櫃,塑膠工業,ESVUFR,,4305,世坤
4401　東隆興,TW0004401005,1996/05/09,上櫃,紡織纖維,ESVUFR,,4401,東隆興
4402　福大,TW0004402003,1997/07/23,上櫃,紡織纖維,ESVUFR,,4402,福大
4406　新昕纖,TW0004406004,1999/01/14,上櫃,紡織纖維,ESVUFR,,4406,新昕纖
