有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,代號,公司名稱
7547　碩網,TW0007547B12,2021/02/03,興櫃,數位雲端,ESVUFR,7547,碩網
7551　知識科技,TW0007551B15,2019/12/12,興櫃,數位雲端,ESVUFR,7551,知識科技
7555　美萌,TW0007555B11,2020/11/27,興櫃,生技醫療業,ESVUFR,7555,美萌
7558　群利,TW0007558B18,2021/05/03,興櫃,其他業,ESVUFR,7558,群利
7561　光晟生技,TW0007561B13,2020/07/06,興櫃,生技醫療業,ESVUFR,7561,光晟生技
7562　博來科技,TW0007562B12,2023/11/13,興櫃,電腦及週邊設備業,ESVUFR,7562,博來科技
7566　亞果遊艇,TW0007566B18,2020/07/01,興櫃,觀光餐旅,ESVUFR,7566,亞果遊艇
7575　安美得,TW0007575B17,2022/06/24,興櫃,生技醫療業,ESVUFR,7575,安美得
7578　利百景,TW0007578B14,2022/09/12,興櫃,其他業,ESVUFR,7578,利百景
7583　國際海洋,TW0007583B17,2023/09/26,興櫃,綠能環保,ESVUFR,7583,國際海洋
7584　樂意,TW0007584B16,2021/05/12,興櫃,文化創意業,ESVUFR,7584,樂意
7590　怡和國際,TW0007590B18,2022/03/02,興櫃,其他業,ESVUFR,7590,怡和國際
7595　世基生醫,TW0007595B13,2020/12/22,興櫃,生技醫療業,ESVUFR,7595,世基生醫
7607　通用幹細胞*,TW0007607004,2023/05/25,興櫃,生技醫療業,ESVUFR,7607,通用幹細胞*
7610　聯友金屬,TW0007610B14,2023/03/14,興櫃,綠能環保,ESVUFR,7610,聯友金屬
7631　聚賢研發,TW0007631B19,2023/07/17,興櫃,其他電子業,ESVUFR,7631,聚賢研發
7642　昶瑞機電,TW0007642B16,2023/12/28,興櫃,電機機械,ESVUFR,7642,昶瑞機電
7702　前端風電,TW0007702003,2023/10/17,興櫃,綠能環保,ESVUFR,7702,前端風電
7703　銳澤,TW0007703001,2023/12/21,興櫃,其他電子業,ESVUFR,7703,銳澤
7704　明遠精密,TW0007704009,2023/12/01,興櫃,半導體業,ESVUFR,7704,明遠精密
7705　三商餐飲,TW0007705006,2023/12/22,興櫃,觀光餐旅,ESVUFR,7705,三商餐飲
7706　宏碁創達,TW0007706004,2023/12/25,興櫃,其他業,ESVUFR,7706,宏碁創達
7707　益芯科,TW0007707002,2023/12/05,興櫃,半導體業,ESVUFR,7707,益芯科
7708　全家餐飲,TW0007708000,2023/12/21,興櫃,觀光餐旅,ESVUFR,7708,全家餐飲
7709　榮田,TW0007709008,2024/01/08,興櫃,電機機械,ESVUFR,7709,榮田
7712　博盛半導體,TW0007712002,2023/11/22,興櫃,半導體業,ESVUFR,7712,博盛半導體
7713　威力德生醫,TW0007713000,2024/01/02,興櫃,生技醫療業,ESVUFR,7713,威力德生醫
7714　創泓科技,TW0007714008,2024/01/04,興櫃,數位雲端,ESVUFR,7714,創泓科技
7715　裕山,TW0007715005,2024/01/12,興櫃,綠能環保,ESVUFR,7715,裕山
7716　昱臺國際,TW0007716003,2024/03/28,興櫃,航運業,ESVUFR,7716,昱臺國際
7718　友鋮,TW0007718009,2024/02/22,興櫃,鋼鐵工業,ESVUFR,7718,友鋮
7719　碳基,TW0007719007,2023/11/23,興櫃,其他業,ESVUFR,7719,碳基
7721　微程式,TW0007721003,2023/12/22,興櫃,數位雲端,ESVUFR,7721,微程式
7722　LINEPAY,TW0007722001,2024/01/26,興櫃,數位雲端,ESVUFR,7722,LINEPAY
7723　築間,TW0007723009,2023/12/21,興櫃,觀光餐旅,ESVUFR,7723,築間
